127.0.0.1 - - [02/May/2023:15:14:02 +0530] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [02/May/2023:15:14:03 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:14:03 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 914
127.0.0.1 - - [02/May/2023:15:14:03 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:14:03 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:14:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [02/May/2023:15:15:35 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:35 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:35 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:35 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:35 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:36 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/css/loginPage.css HTTP/1.1" 200 1367
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/js/loginPage.js HTTP/1.1" 200 932
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /e-commerce/images/e.jpg HTTP/1.1" 200 98336
127.0.0.1 - - [02/May/2023:15:15:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [02/May/2023:15:19:57 +0530] "GET /e-commerce/jsp/loginPage.jsp HTTP/1.1" 200 924
