127.0.0.1 - - [04/May/2023:20:47:01 +0530] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [04/May/2023:20:47:02 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:47:03 +0530] "GET /e-commerce/js/updatePage.js HTTP/1.1" 200 1926
127.0.0.1 - - [04/May/2023:20:47:03 +0530] "GET /e-commerce/css/updatePage.css HTTP/1.1" 200 1187
127.0.0.1 - - [04/May/2023:20:47:03 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [04/May/2023:20:47:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [04/May/2023:20:47:21 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 374
127.0.0.1 - - [04/May/2023:20:54:14 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:14 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [04/May/2023:20:54:14 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:15 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [04/May/2023:20:54:19 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:19 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
127.0.0.1 - - [04/May/2023:20:54:20 +0530] "GET /e-commerce/jsp/updatePage.jsp HTTP/1.1" 200 233
