127.0.0.1 - - [05/May/2023:13:53:28 +0530] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [05/May/2023:13:53:31 +0530] "GET /e-commerce/jsp/electronics.jsp HTTP/1.1" 200 1748
127.0.0.1 - - [05/May/2023:13:53:31 +0530] "GET /e-commerce/css/category.css HTTP/1.1" 200 4258
127.0.0.1 - - [05/May/2023:13:53:31 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [05/May/2023:13:53:31 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [05/May/2023:13:53:54 +0530] "GET /e-commerce/jsp/home.jsp HTTP/1.1" 404 1038
127.0.0.1 - - [05/May/2023:13:53:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [05/May/2023:13:55:10 +0530] "GET /e-commerce/jsp/home.jsp HTTP/1.1" 404 1038
127.0.0.1 - - [05/May/2023:13:55:10 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [05/May/2023:14:11:37 +0530] "GET /e-commerce/jsp/admin/loginPage.jsp HTTP/1.1" 200 1011
127.0.0.1 - - [05/May/2023:14:11:37 +0530] "GET /e-commerce/jsp/css/loginPage.css HTTP/1.1" 404 1056
127.0.0.1 - - [05/May/2023:14:11:37 +0530] "GET /e-commerce/jsp/js/loginPage.js HTTP/1.1" 404 1052
127.0.0.1 - - [05/May/2023:14:11:37 +0530] "GET /e-commerce/jsp/js/loginPage.js HTTP/1.1" 404 1052
127.0.0.1 - - [05/May/2023:14:11:37 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [05/May/2023:14:12:32 +0530] "GET /e-commerce/jsp/admin/loginPage.jsp HTTP/1.1" 200 1011
127.0.0.1 - - [05/May/2023:14:12:32 +0530] "GET /e-commerce/jsp/css/loginPage.css HTTP/1.1" 404 1056
127.0.0.1 - - [05/May/2023:14:12:32 +0530] "GET /e-commerce/jsp/js/loginPage.js HTTP/1.1" 404 1052
