127.0.0.1 - - [03/May/2023:20:33:22 +0530] "GET / HTTP/1.1" 404 992
127.0.0.1 - - [03/May/2023:20:33:23 +0530] "GET /e-commerce/jsp/payment.jsp HTTP/1.1" 200 2383
127.0.0.1 - - [03/May/2023:20:33:23 +0530] "GET /e-commerce/css/payment.css HTTP/1.1" 200 1388
127.0.0.1 - - [03/May/2023:20:33:23 +0530] "GET /e-commerce/js/payment.js HTTP/1.1" 200 883
127.0.0.1 - - [03/May/2023:20:33:23 +0530] "GET /e-commerce/images/cards.png HTTP/1.1" 200 52344
127.0.0.1 - - [03/May/2023:20:33:23 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [03/May/2023:20:36:54 +0530] "GET /e-commerce/jsp/payment.jsp HTTP/1.1" 200 2380
127.0.0.1 - - [03/May/2023:20:36:54 +0530] "GET /e-commerce/css/payment.css HTTP/1.1" 200 1388
127.0.0.1 - - [03/May/2023:20:36:54 +0530] "GET /e-commerce/js/payment.js HTTP/1.1" 200 1096
127.0.0.1 - - [03/May/2023:20:36:54 +0530] "GET /e-commerce/images/cards.png HTTP/1.1" 200 52344
127.0.0.1 - - [03/May/2023:20:36:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1014
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/jsp/payment.jsp HTTP/1.1" 200 2380
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/css/payment.css HTTP/1.1" 200 1388
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/js/payment.js HTTP/1.1" 200 1096
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/images/cards.png HTTP/1.1" 200 52344
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/jsp/payment.jsp HTTP/1.1" 200 2380
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/css/payment.css HTTP/1.1" 200 1388
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/js/payment.js HTTP/1.1" 200 1096
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/images/cards.png HTTP/1.1" 200 52344
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/jsp/payment.jsp HTTP/1.1" 200 2380
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/css/payment.css HTTP/1.1" 200 1388
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/js/payment.js HTTP/1.1" 200 1096
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/images/cards.png HTTP/1.1" 200 52344
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/jsp/payment.jsp HTTP/1.1" 200 2380
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/css/payment.css HTTP/1.1" 200 1388
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/js/payment.js HTTP/1.1" 200 1096
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/images/cards.png HTTP/1.1" 200 52344
127.0.0.1 - - [03/May/2023:20:36:55 +0530] "GET /e-commerce/jsp/payment.jsp HTTP/1.1" 200 2380
