127.0.0.1 - - [24/Apr/2023:12:16:19 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [24/Apr/2023:12:16:22 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
0:0:0:0:0:0:0:1 - - [24/Apr/2023:12:16:22 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 200 129629
127.0.0.1 - - [24/Apr/2023:12:16:33 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:16:33 +0530] "GET /e-commerce/images/a.jpg HTTP/1.1" 304 -
127.0.0.1 - - [24/Apr/2023:12:19:17 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:18 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:18 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:18 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:18 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:18 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:18 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:18 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:26 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:27 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
127.0.0.1 - - [24/Apr/2023:12:19:27 +0530] "GET /e-commerce/jsp/hehe.jsp HTTP/1.1" 200 4197
